Datetime,Wind Direction (deg)
2024-05-29 00:00:00,229.0
2024-05-29 01:00:00,244.0
2024-05-29 02:00:00,268.0
2024-05-29 03:00:00,277.0
2024-05-29 04:00:00,286.0
2024-05-29 05:00:00,279.0
2024-05-29 06:00:00,284.0
2024-05-29 07:00:00,272.0
2024-05-29 08:00:00,292.0
2024-05-29 09:00:00,248.0
2024-05-29 10:00:00,220.0
2024-05-29 11:00:00,211.0
2024-05-29 12:00:00,211.0
2024-05-29 13:00:00,201.0
2024-05-29 14:00:00,198.0
2024-05-29 15:00:00,188.0
2024-05-29 16:00:00,189.0
2024-05-29 17:00:00,222.0
2024-05-29 18:00:00,211.0
2024-05-29 19:00:00,209.0
2024-05-29 20:00:00,188.0
2024-05-29 21:00:00,220.0
2024-05-29 22:00:00,165.0
2024-05-29 23:00:00,215.0
